               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     TITLE                    ISTP WIND spin phase CDF
     PROJECT                  ISTP>International Solar-Terrestrial Physics
     DISCIPLINE               Space Physics
     SOURCE_NAME              WIND>Wind Interplanetary Plasma Laboratory
     DATA_VERSION             1
     DATA_TYPE                K0>Key Parameter
     DESCRIPTOR               SPHA>Spin Phase
     START_DATE               1995-10-10T00:03:10.190Z
     END_DATE                 1995-10-10T23:59:30.190Z
     ADID_REF                 NSSD0137
     LOGICAL_FILE_ID          WI_K0_SPHA_19951010_V01
     TEXT                     To be supplied
     MODS                     12/17/92 - Original Implementation, CCR 87
                              6/14/94 - CCR ISTP 1852, updated CDHF skeleton to CDF standards - JT
                              11/9/94 - Correct errors made in ccr 1852.  CCR 1884
     LOGICAL_SOURCE           WI_K0_SPHA
     LOGICAL_SOURCE_DESCR     Wind Spin Phase
     INSTRUMENT_TYPE          Ephemeris
     NSSDC_ID                 xxno-00354
     ALT_LOGICAL_SOURCE       Wind_Spin-Phase_Key-Parameters-K0_92sec_cdf
     MISSION_GROUP            Wind
                              !___Interplanetary Data near 1 AU

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Spin phase EPOCH time
 2. Spin phase angle
 3. Average spin rate
 4. Std dev of spin rate

EPOCH                        SP_ANGLE    AVG_SPN_RT    STDV_SPN_R
dd-mm-yyyy hh:mm:ss.ms            rad       rad/sec       rad/sec
03-04-1996 01:57:48.550       2.42772       1.98833   0.00000E+00
03-04-1996 01:58:34.550       5.93028       1.98833   0.00000E+00
03-04-1996 01:59:20.550       3.15013       1.98833   0.00000E+00
03-04-1996 02:00:06.550       0.36983       1.98833   0.00000E+00
03-04-1996 02:00:52.550       3.87258       1.98833   0.00000E+00
03-04-1996 02:01:38.550       1.09224       1.98833   0.00000E+00
03-04-1996 02:02:24.550       4.59499       1.98833   0.00000E+00
03-04-1996 02:03:10.550       1.81469       1.98833   0.00000E+00
03-04-1996 02:03:56.550       5.31728       1.98833   0.00000E+00
03-04-1996 02:04:42.550       2.53710       1.98833   0.00000E+00
03-04-1996 02:05:28.550       6.03970       1.98833   0.00000E+00
03-04-1996 02:06:14.550       3.25955       1.98833   0.00000E+00
03-04-1996 02:07:00.550       0.47925       1.98833   0.00000E+00
03-04-1996 02:07:46.550       3.98197       1.98833   0.00000E+00
03-04-1996 02:08:32.550       1.20166       1.98833   0.00000E+00
03-04-1996 02:09:18.550       4.70426       1.98833   0.00000E+00
03-04-1996 02:10:04.550       1.92408       1.98833   0.00000E+00
03-04-1996 02:10:50.550       5.42667       1.98833   0.00000E+00
03-04-1996 02:11:36.550       2.64652       1.98833   0.00000E+00
03-04-1996 02:12:22.550       6.14912       1.98833   0.00000E+00
03-04-1996 02:13:08.550       3.36894       1.98833   0.00000E+00
03-04-1996 02:13:54.550       0.58864       1.98833   0.00000E+00
03-04-1996 02:14:40.550       4.09135       1.98833   0.00000E+00
03-04-1996 02:15:26.550       1.31105       1.98833   0.00000E+00
03-04-1996 02:16:12.550       4.81365       1.98833   0.00000E+00
