;  1997-04-10/04:56:09  12   PESA change: esa_mcpl              ad b9
;  1997-04-10/05:09:25  12   PESA change: esa_mcpl              b9 bf
;  1997-04-10/05:22:42  12   PESA change: esa_mcpl              bf b9

1997-06-08/11:17:00     .8  1.e-6    ;cause unknown

1997-09-03/18:01:00     1.  1.e-6    ;cause unknown

;  1998-02-04/01:25:19  12   PESA change: esa_mcpl              b9 b3
;  1998-02-04/01:38:08  12   PESA change: esa_mcpl              b3 ad
;  1998-02-04/01:50:56  12   PESA change: esa_mcpl              ad bf
;  1998-02-04/02:03:45  12   PESA change: esa_mcpl              bf bc
;  1998-02-04/02:16:33  12   PESA change: esa_mcpl              bc b9
;  1998-02-04/04:37:27  12   PESA change: esa_mcpl              b9 b3
;  1998-02-04/04:50:15  12   PESA change: esa_mcpl              b3 b9
;  1998-02-04/05:03:04  12   PESA change: esa_mcpl              b9 bf
;  1998-02-04/05:15:52  12   PESA change: esa_mcpl              bf bc
;  1998-02-04/05:28:41  12   PESA change: esa_mcpl              bc b9

;  1998-11-08/01:26:53  12   PESA change: esa_mcpl              b9 b3
;  1998-11-08/01:40:14  12   PESA change: esa_mcpl              b3 b9
;  1998-11-08/02:06:58  12   PESA change: esa_mcpl              b9 bc
;  1998-11-08/02:20:19  12   PESA change: esa_mcpl              bc b9
;  1998-11-08/04:33:55  12   PESA change: esa_mcpl              b9 b3
;  1998-11-08/04:47:17  12   PESA change: esa_mcpl              b3 ad
;  1998-11-08/05:00:39  12   PESA change: esa_mcpl              ad bf
;  1998-11-08/05:14:00  12   PESA change: esa_mcpl              bf bc
;  1998-11-08/05:27:22  12   PESA change: esa_mcpl              bc b9

1998-09-01/00:00:00     1.   0.      ; quick fix ! good for 98-09-05

;  1999-05-19/01:28:03  12   PESA change: esa_mcpl              b9 b3
;  1999-05-19/01:41:08  12   PESA change: esa_mcpl              b3 b9
;  1999-05-19/01:54:12  12   PESA change: esa_mcpl              b9 bf
;  1999-05-19/02:07:16  12   PESA change: esa_mcpl              bf bc
;  1999-05-19/02:20:21  12   PESA change: esa_mcpl              bc b9
;  1999-05-19/04:31:04  12   PESA change: esa_mcpl              b9 b3
;  1999-05-19/04:44:08  12   PESA change: esa_mcpl              b3 ad
;  1999-05-19/04:57:13  12   PESA change: esa_mcpl              ad b9
;  1999-05-19/05:10:17  12   PESA change: esa_mcpl              b9 bc
;  1999-05-19/05:23:21  12   PESA change: esa_mcpl              bc b9
